Configuration,Greedy,Number of nodes,Requests per node,IRD parameter (milliseconds),CSET parameter (milliseconds),Requests satisfied,Network active time (seconds),Network throughput (requests per second),Messages sent,Average response time (milliseconds),Mean messages,Mean average response time,Mean throughput
config_binary31_50_66_10.txt,FALSE,31,10,50,66,310,32,9,698,2471,684.6666667,2411.333333,9
config_binary31_50_83_10.txt,FALSE,31,10,50,83,310,38,8,756,2912,,,
config_binary31_50_83_10.txt,FALSE,31,10,50,83,310,38,8,766,2946,,,
config_binary31_50_83_10.txt,FALSE,31,10,50,83,310,40,7,750,3086,757.3333333,2981.333333,7.666666667
config_binary31_66_100_10.txt,FALSE,31,10,66,100,310,46,6,830,3757,,,
config_binary31_66_100_10.txt,FALSE,31,10,66,100,310,46,6,862,3759,,,
config_binary31_66_100_10.txt,FALSE,31,10,66,100,310,40,7,798,3160,830,3558.666667,6.333333333
config_binary31_66_16_10.txt,FALSE,31,10,66,16,310,22,14,654,1539,,,
config_binary31_66_16_10.txt,FALSE,31,10,66,16,310,22,14,620,1467,,,
config_binary31_66_16_10.txt,FALSE,31,10,66,16,310,21,14,616,1446,630,1484,14
config_binary31_66_33_10.txt,FALSE,31,10,66,33,310,26,11,660,1785,,,
config_binary31_66_33_10.txt,FALSE,31,10,66,33,310,26,11,658,1853,,,
config_binary31_66_33_10.txt,FALSE,31,10,66,33,310,26,11,678,1862,665.3333333,1833.333333,11
config_binary31_66_50_10.txt,FALSE,31,10,66,50,310,30,10,712,2170,,,
config_binary31_66_50_10.txt,FALSE,31,10,66,50,310,29,10,670,2084,,,
config_binary31_66_50_10.txt,FALSE,31,10,66,50,310,30,10,698,2190,693.3333333,2148,10
config_binary31_66_66_10.txt,FALSE,31,10,66,66,310,33,9,690,2434,,,
config_binary31_66_66_10.txt,FALSE,31,10,66,66,310,33,9,732,2541,,,
config_binary31_66_66_10.txt,FALSE,31,10,66,66,310,33,9,722,2554,714.6666667,2509.666667,9
config_binary31_66_83_10.txt,FALSE,31,10,66,83,310,40,7,808,3176,,,
config_binary31_66_83_10.txt,FALSE,31,10,66,83,310,40,7,790,3133,,,
config_binary31_66_83_10.txt,FALSE,31,10,66,83,310,36,8,758,2734,785.3333333,3014.333333,7.333333333
config_binary31_83_100_10.txt,FALSE,31,10,83,100,310,43,7,822,3448,,,
config_binary31_83_100_10.txt,FALSE,31,10,83,100,310,43,7,800,3407,,,
config_binary31_83_100_10.txt,FALSE,31,10,83,100,310,43,7,842,3381,821.3333333,3412,7
config_binary31_83_16_10.txt,FALSE,31,10,83,16,310,24,12,666,1661,,,
config_binary31_83_16_10.txt,FALSE,31,10,83,16,310,24,12,650,1657,,,
config_binary31_83_16_10.txt,FALSE,31,10,83,16,310,23,13,654,1570,656.6666667,1629.333333,12.33333333
config_binary31_83_33_10.txt,FALSE,31,10,83,33,310,27,11,676,1903,,,
config_binary31_83_33_10.txt,FALSE,31,10,83,33,310,27,11,692,1900,,,
config_binary31_83_33_10.txt,FALSE,31,10,83,33,310,28,11,722,2037,696.6666667,1946.666667,11
config_binary31_83_50_10.txt,FALSE,31,10,83,50,310,29,10,714,2220,,,
config_binary31_83_50_10.txt,FALSE,31,10,83,50,310,31,10,718,2283,,,
config_binary31_83_50_10.txt,FALSE,31,10,83,50,310,31,10,754,2289,728.6666667,2264,10
config_binary31_83_66_10.txt,FALSE,31,10,83,66,310,36,8,778,2777,,,
config_binary31_83_66_10.txt,FALSE,31,10,83,66,310,35,8,768,2720,,,
config_binary31_83_66_10.txt,FALSE,31,10,83,66,310,34,9,766,2615,770.6666667,2704,8.333333333
config_binary31_83_83_10.txt,FALSE,31,10,83,83,310,39,7,810,3093,,,
config_binary31_83_83_10.txt,FALSE,31,10,83,83,310,40,7,796,3134,,,
config_binary31_83_83_10.txt,FALSE,31,10,83,83,310,42,7,794,3315,800,3180.666667,7
config_binary31_100_100_10.txt,TRUE,31,10,100,100,310,47,6,800,3604,,,
config_binary31_100_100_10.txt,TRUE,31,10,100,100,310,41,7,784,3058,,,
config_binary31_100_100_10.txt,TRUE,31,10,100,100,310,44,7,776,3433,786.6666667,3365,6.666666667
config_binary31_100_16_10.txt,TRUE,31,10,100,16,310,22,14,608,1402,,,
config_binary31_100_16_10.txt,TRUE,31,10,100,16,310,23,13,688,1503,,,
config_binary31_100_16_10.txt,TRUE,31,10,100,16,310,21,14,588,1418,628,1441,13.66666667
config_binary31_100_33_10.txt,TRUE,31,10,100,33,310,27,11,688,1811,,,
config_binary31_100_33_10.txt,TRUE,31,10,100,33,310,25,12,596,1723,,,
config_binary31_100_33_10.txt,TRUE,31,10,100,33,310,26,11,676,1833,653.3333333,1789,11.33333333
config_binary31_100_50_10.txt,TRUE,31,10,100,50,310,30,10,692,2191,,,
config_binary31_100_50_10.txt,TRUE,31,10,100,50,310,31,10,684,2235,,,
config_binary31_100_50_10.txt,TRUE,31,10,100,50,310,31,10,692,2227,689.3333333,2217.666667,10
config_binary31_100_66_10.txt,TRUE,31,10,100,66,310,34,9,764,2364,,,
config_binary31_100_66_10.txt,TRUE,31,10,100,66,310,34,9,740,2465,,,
config_binary31_100_66_10.txt,TRUE,31,10,100,66,310,35,8,772,2520,758.6666667,2449.666667,8.666666667
config_binary31_100_83_10.txt,TRUE,31,10,100,83,310,39,7,772,2865,,,
config_binary31_100_83_10.txt,TRUE,31,10,100,83,310,38,8,716,2912,,,
config_binary31_100_83_10.txt,TRUE,31,10,100,83,310,39,7,804,2917,764,2898,7.333333333
config_binary31_16_100_10.txt,TRUE,31,10,16,100,310,38,8,576,3076,,,
config_binary31_16_100_10.txt,TRUE,31,10,16,100,310,39,7,580,3170,,,
config_binary31_16_100_10.txt,TRUE,31,10,16,100,310,39,7,580,3287,578.6666667,3177.666667,7.333333333
config_binary31_16_16_10.txt,TRUE,31,10,16,16,310,16,19,346,934,,,
